family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,Micro_Hurst:lo@p5,SHORT,aligned,standard,3916,178.0,36.943,166,81.3,81.3,81.3,1.194,-205.6,3,22,13,5,2,0,0,54.5,False,none
F13,Micro_Hurst:lo@p5,SHORT,counter,standard,3864,175.64,36.453,141,82.3,82.3,82.3,1.931,-153.0,5,22,12,5,5,0,0,66.7,False,none
F13,Micro_Hurst:lo@p3,LONG,aligned,standard,2291,104.14,21.613,87,78.2,78.2,78.2,0.869,-194.1,2,22,12,5,2,0,0,48.5,False,none
F13,Micro_Hurst:lo@p3,LONG,counter,standard,2387,108.5,22.519,116,81.0,81.0,81.0,1.095,-192.5,4,22,14,5,3,0,0,63.6,False,none
F13,Micro_Hurst:lo@p3,SHORT,aligned,standard,2387,108.5,22.519,117,77.8,77.8,77.8,0.947,-252.2,2,22,15,5,2,0,0,57.6,False,none
F13,Micro_Hurst:lo@p3,SHORT,counter,standard,2291,104.14,21.613,89,79.8,79.8,79.8,1.529,-153.0,5,22,12,5,5,0,0,66.7,False,none
F13,Micro_Hurst:lo@p1,LONG,aligned,standard,802,36.45,7.566,29,69.0,69.0,69.0,0.5,-151.8,2,16,9,5,1,0,0,46.2,False,none
F13,Micro_Hurst:lo@p1,LONG,counter,standard,815,37.05,7.689,49,85.7,85.7,85.7,1.294,-129.0,5,18,15,5,4,0,0,82.8,False,none
F13,Micro_Hurst:lo@p1,SHORT,aligned,standard,815,37.05,7.689,49,71.4,71.4,71.4,0.543,-153.0,2,18,10,5,1,0,0,44.8,False,none
F13,Micro_Hurst:lo@p1,SHORT,counter,standard,802,36.45,7.566,29,82.8,82.8,82.8,3.249,-105.7,4,16,12,5,4,0,0,76.9,False,none
F13,Micro_IBSP:hi@p50,LONG,aligned,standard,39000,1772.73,367.925,879,82.0,82.1,82.0,1.267,-598.9,5,22,15,6,4,1,0,70.6,False,none
F13,Micro_IBSP:hi@p50,LONG,counter,standard,36060,1639.09,340.189,911,84.5,84.7,84.5,1.451,-414.8,6,22,17,6,6,3,1,85.3,False,none
F13,Micro_IBSP:hi@p50,SHORT,aligned,standard,36060,1639.09,340.189,1092,75.9,76.1,75.9,1.065,-468.8,5,22,12,6,3,2,1,58.8,False,none
F13,Micro_IBSP:hi@p50,SHORT,counter,standard,39000,1772.73,367.925,999,76.6,76.7,76.6,1.214,-508.8,6,22,16,6,5,2,0,79.4,False,none
F13,Micro_IBSP:hi@p60,LONG,aligned,standard,32046,1456.64,302.321,794,82.2,82.6,82.2,1.227,-619.2,5,22,13,6,4,3,0,64.7,False,none
F13,Micro_IBSP:hi@p60,LONG,counter,standard,29223,1328.32,275.689,821,84.3,84.5,84.3,1.372,-441.3,6,22,15,6,6,2,1,79.4,False,none
F13,Micro_IBSP:hi@p60,SHORT,aligned,standard,29223,1328.32,275.689,1015,76.1,76.3,76.1,1.086,-471.0,4,22,13,6,4,3,1,61.8,False,none
F13,Micro_IBSP:hi@p60,SHORT,counter,standard,32046,1456.64,302.321,934,76.1,76.2,76.1,1.237,-401.6,6,22,14,6,5,1,0,73.5,False,none
F13,Micro_IBSP:hi@p70,LONG,aligned,standard,24530,1115.0,231.415,685,82.8,83.1,82.8,1.165,-630.1,4,22,12,6,4,3,0,58.8,False,none
F13,Micro_IBSP:hi@p70,LONG,counter,standard,21799,990.86,205.651,702,84.5,84.7,84.5,1.353,-497.6,6,22,16,6,5,2,1,79.4,False,none
F13,Micro_IBSP:hi@p70,SHORT,aligned,standard,21799,990.86,205.651,860,75.8,76.1,75.8,1.015,-512.0,5,22,12,6,2,3,1,55.9,False,none
