family,signal_def,direction,d2d_mode,gating,total_firings,firings_per_week,firings_per_day,trades,wr_post_fc,wr_pre_fc,WR,agg_pf,worst_day_usd,folds_plus,weeks_present,weeks_won,weekdays_present,weekdays_won,exit_FC,exit_EOD,persistence,survival,tier
F13,Dist_To_PoC_ATR:hi@p95,LONG,counter,standard,5188,235.82,48.943,63,79.4,79.0,79.4,1.121,-348.9,3,9,6,5,2,1,0,57.9,False,none
F13,Dist_To_PoC_ATR:hi@p95,SHORT,aligned,standard,5188,235.82,48.943,56,82.1,82.1,82.1,1.375,-131.1,1,9,4,5,2,0,0,36.8,False,none
F13,Dist_To_PoC_ATR:hi@p95,SHORT,counter,standard,9219,419.05,86.972,107,84.1,84.1,84.1,1.888,-85.6,4,10,7,5,3,0,0,70.0,False,none
F13,Dist_To_PoC_ATR:hi@p97,LONG,aligned,standard,7532,342.36,71.057,74,73.0,73.0,73.0,0.775,-315.6,2,10,5,5,1,0,0,40.0,False,none
F13,Dist_To_PoC_ATR:hi@p97,LONG,counter,standard,4168,189.45,39.321,36,80.6,80.6,80.6,0.897,-250.8,4,7,5,4,2,0,0,68.8,False,none
F13,Dist_To_PoC_ATR:hi@p97,SHORT,aligned,standard,4168,189.45,39.321,38,81.6,81.6,81.6,1.483,-131.1,1,7,3,4,2,0,0,37.5,False,none
F13,Dist_To_PoC_ATR:hi@p97,SHORT,counter,standard,7532,342.36,71.057,70,84.3,84.3,84.3,1.375,-154.5,2,10,5,5,3,0,0,50.0,False,none
F13,Dist_To_PoC_ATR:hi@p99,LONG,aligned,standard,5074,230.64,47.868,38,71.1,71.1,71.1,0.544,-235.3,1,5,1,4,2,0,0,30.8,False,none
F13,Dist_To_PoC_ATR:hi@p99,LONG,counter,standard,2818,128.09,26.585,13,61.5,61.5,61.5,0.45,-430.9,2,4,3,3,2,0,0,70.0,False,none
F13,Dist_To_PoC_ATR:hi@p99,SHORT,aligned,standard,2818,128.09,26.585,11,81.8,81.8,81.8,2.027,-100.5,2,4,3,3,2,0,0,70.0,False,none
F13,Dist_To_PoC_ATR:hi@p99,SHORT,counter,standard,5074,230.64,47.868,36,83.3,83.3,83.3,1.811,-85.6,3,5,4,4,2,0,0,69.2,False,none
F13,Dist_To_PoC_ATR:lo@p50,LONG,aligned,standard,30314,1377.91,285.981,660,79.8,80.0,79.8,1.292,-613.3,5,22,14,6,5,1,0,70.6,False,none
F13,Dist_To_PoC_ATR:lo@p50,LONG,counter,standard,47908,2177.64,451.962,974,80.2,80.1,80.2,1.227,-607.5,6,22,16,6,5,2,1,79.4,False,none
