# DOT committed-system per-trade table (spec B.2 open item 8)
# book=FROZEN ratified book (book50_signals.csv)
# dataset_rows=177251 range=2026.01.19 15:49 -> 2026.07.21 17:09
# population=FULL (BOOK F0+F1 plus gap fillers). BOOK-only = rows whose signal_name is not GAP_HURST/GAP_FB/GAP_D2D.
# oracle_sha256_12=518862bf19fb engine_sha256_12=bb498eb13ce3
signal_idx,signal_name,direction,lots,entry_bar,exit_bar,entry_time,exit_time,entry_price,exit_price,pnl,pnl_per_lot,exit_type,tiers,be_nudged,initial_risk
0,L_1_KAMA_Dis+Micro_Wi+OR_High_,LONG,1.0,9673,9683,2026.01.28 21:37,2026.01.28 21:47,48972.3,49001.118210600005,25.8,25.8,BE,1,True,96.060702
2,L_3_KAMA_Dis+Micro_Wi+PrevDay_,LONG,1.0,9673,9683,2026.01.28 21:37,2026.01.28 21:47,48972.3,49001.118210600005,25.8,25.8,BE,1,True,96.060702
49,L_50___F1_1+__F1_1+__F1_1,LONG,1.0,9672,9684,2026.01.28 21:36,2026.01.28 21:48,48985.3,49009.197104800005,20.9,20.9,BE,1,True,79.657016
4,L_5_OBV_Macd+Sqz_Stat+RangeOsc,LONG,1.25,9682,9684,2026.01.28 21:46,2026.01.28 21:48,48986.3,49005.6539348,20.4,16.4,BE,1,True,64.513116
9,L_10_OBV_Macd+Micro_La+Micro_Ro,LONG,1.25,9682,9684,2026.01.28 21:46,2026.01.28 21:48,48986.3,49005.6539348,20.4,16.4,BE,1,True,64.513116
1,L_2_Micro_Mo+Micro_Ra+AT_Regim,LONG,1.25,9671,9685,2026.01.28 21:35,2026.01.28 21:49,48987.8,49025.715396800006,43.6,34.9,BE,1,True,126.384656
8,L_9_Micro_IB+VWAP_Sig+Volume,LONG,1.25,9671,9685,2026.01.28 21:35,2026.01.28 21:49,48987.8,49025.715396800006,43.6,34.9,BE,1,True,126.384656
32,L_33_Slope_EM+Micro_Re+Session_,LONG,1.25,9671,9685,2026.01.28 21:35,2026.01.28 21:49,48987.8,49025.715396800006,43.6,34.9,BE,1,True,126.384656
14,L_15_Bar_Rang+Micro_La+RangeOsc,LONG,1.0,9687,9689,2026.01.28 21:51,2026.01.28 21:53,49003.8,49017.292715400006,10.5,10.5,BE,1,True,44.975718
4,L_5_OBV_Macd+Sqz_Stat+RangeOsc,LONG,1.0,9689,9691,2026.01.28 21:53,2026.01.28 21:55,48993.8,49006.9785932,10.2,10.2,BE,1,True,43.928644
8,L_9_Micro_IB+VWAP_Sig+Volume,LONG,1.0,9685,9695,2026.01.28 21:49,2026.01.28 21:59,49014.8,48955.343104,-62.5,-62.5,SL,0,False,59.456896
20,L_21_Bar_Rang+OBV_Macd+Micro_Ti,LONG,1.0,9685,9695,2026.01.28 21:49,2026.01.28 21:59,49014.8,48955.343104,-62.5,-62.5,SL,0,False,59.456896
51,GAP_FB,LONG,1.0,9696,9699,2026.01.28 22:00,2026.01.28 22:03,48974.85,49043.0913102,65.2,65.2,BE,1,True,150.0
6,L_7_OBV_Macd+Micro_Lo+Micro_Re,LONG,1.25,9707,9716,2026.01.28 22:11,2026.01.28 22:20,49013.8,49026.5756998,12.2,9.8,BE,1,True,42.585666
8,L_9_Micro_IB+VWAP_Sig+Volume,LONG,1.25,9707,9716,2026.01.28 22:11,2026.01.28 22:20,49013.8,49026.5756998,12.2,9.8,BE,1,True,42.585666
51,GAP_FB,LONG,1.0,9746,9750,2026.01.28 22:50,2026.01.28 22:54,48988.35,49072.5350982,81.2,81.2,BE,1,True,150.0
1,L_2_Micro_Mo+Micro_Ra+AT_Regim,LONG,1.25,9749,9752,2026.01.28 22:53,2026.01.28 22:56,49014.8,49027.277412200005,11.8,9.5,BE,2,True,83.182748
22,L_23_VWAP_Dis+D2D_Sign+VWAP_Sid,LONG,1.25,9749,9752,2026.01.28 22:53,2026.01.28 22:56,49014.8,49027.277412200005,11.8,9.5,BE,2,True,83.182748
27,S_28_D2D_Dyna+Upper_Wi+VAH_Side,SHORT,1.0,9756,9759,2026.01.28 23:00,2026.01.28 23:03,48919.28,48874.28,42.0,42.0,BE,1,True,150.0
42,S_43_AT_Slope+Micro_Mi+Upper_Wi,SHORT,1.0,9756,9759,2026.01.28 23:00,2026.01.28 23:03,48919.28,48874.28,42.0,42.0,BE,1,True,150.0
14,L_15_Bar_Rang+Micro_La+RangeOsc,LONG,2.0,10732,10744,2026.01.29 16:31,2026.01.29 16:43,49064.7,49199.7,264.0,132.0,LF,5,True,150.0
22,L_23_VWAP_Dis+D2D_Sign+VWAP_Sid,LONG,2.0,10731,10745,2026.01.29 16:30,2026.01.29 16:44,49071.2,49161.2,174.0,87.0,LF,5,True,150.0
5,L_6_Micro_Or+Session_+ADX_Valu,LONG,1.0,10747,10751,2026.01.29 16:46,2026.01.29 16:50,48974.2,49019.2,42.0,42.0,BE,1,True,150.0
0,L_1_KAMA_Dis+Micro_Wi+OR_High_,LONG,2.0,10746,10757,2026.01.29 16:45,2026.01.29 16:56,49060.7,49101.349401199994,75.3,37.6,BE,1,True,135.498004
2,L_3_KAMA_Dis+Micro_Wi+PrevDay_,LONG,2.0,10746,10757,2026.01.29 16:45,2026.01.29 16:56,49060.7,49101.349401199994,75.3,37.6,BE,1,True,135.498004
12,S_13_EMA_Osci+Micro_Hu+ADX_Valu,SHORT,1.0,10771,10775,2026.01.29 17:10,2026.01.29 17:14,48942.7,48920.9347978,18.8,18.8,BE,1,True,72.550674
13,S_14_Efficien+Micro_Ba+Body_Siz,SHORT,1.0,10795,10797,2026.01.29 17:34,2026.01.29 17:36,48748.7,48731.2851464,14.4,14.4,BE,1,True,116.099024
39,S_40_Slope_Ac+Micro_Or+PoC_Side,SHORT,1.0,10797,10805,2026.01.29 17:36,2026.01.29 17:44,48723.7,48701.6265982,19.1,19.1,BE,1,True,147.156012
10,S_11_OBVf_Dir+VAL_Side+WeeklyOp,SHORT,1.0,10803,10806,2026.01.29 17:42,2026.01.29 17:45,48711.7,48683.552580999996,25.1,25.1,BE,1,True,150.0
51,GAP_FB,LONG,1.0,10806,10809,2026.01.29 17:45,2026.01.29 17:48,48724.7,48801.851618,74.2,74.2,BE,2,True,150.0
46,S_47_Micro_Vo+Body_Siz+OR_Low_S,SHORT,1.0,10818,10820,2026.01.29 17:57,2026.01.29 17:59,48749.7,48722.897604,23.8,23.8,BE,1,True,89.34132
11,S_12_Micro_IB+Micro_Vo+VWAP_Z,SHORT,1.0,10816,10822,2026.01.29 17:55,2026.01.29 18:01,48715.7,48691.0088222,21.7,21.7,BE,1,True,82.303926
51,GAP_FB,LONG,1.0,10831,10833,2026.01.29 18:10,2026.01.29 18:12,48673.7,48766.346561599996,89.6,89.6,BE,2,True,150.0
15,L_16_D2D_ATR+AT_Slope+Bars_Sin,LONG,1.25,10835,10839,2026.01.29 18:14,2026.01.29 18:18,48802.2,48823.367532,22.7,18.2,BE,1,True,141.11688
16,L_17_AT_Lookb+AT_Slope+Micro_Ro,LONG,1.25,10835,10839,2026.01.29 18:14,2026.01.29 18:18,48802.2,48823.367532,22.7,18.2,BE,1,True,141.11688
20,L_21_Bar_Rang+OBV_Macd+Micro_Ti,LONG,1.25,10835,10839,2026.01.29 18:14,2026.01.29 18:18,48802.2,48823.367532,22.7,18.2,BE,1,True,141.11688
23,L_24_Bars_Sin+PrevDay_+OR_Low_S,LONG,1.25,10835,10839,2026.01.29 18:14,2026.01.29 18:18,48802.2,48823.367532,22.7,18.2,BE,1,True,141.11688
35,L_36_AT_Slope+Momentum+AT_Regim,LONG,1.25,10835,10839,2026.01.29 18:14,2026.01.29 18:18,48802.2,48823.367532,22.7,18.2,BE,1,True,141.11688
36,L_37_AT_Slope+Micro_Ro+RangeOsc,LONG,1.25,10835,10839,2026.01.29 18:14,2026.01.29 18:18,48802.2,48823.367532,22.7,18.2,BE,1,True,141.11688
15,L_16_D2D_ATR+AT_Slope+Bars_Sin,LONG,1.0,10839,10842,2026.01.29 18:18,2026.01.29 18:21,48818.7,48864.325661999996,42.6,42.6,LF,5,True,50.69518
20,L_21_Bar_Rang+OBV_Macd+Micro_Ti,LONG,1.0,10839,10842,2026.01.29 18:18,2026.01.29 18:21,48818.7,48864.325661999996,42.6,42.6,LF,5,True,50.69518
23,L_24_Bars_Sin+PrevDay_+OR_Low_S,LONG,1.0,10839,10842,2026.01.29 18:18,2026.01.29 18:21,48818.7,48864.325661999996,42.6,42.6,LF,5,True,50.69518
28,L_29_Slope_EM+Micro_HL+Micro_Re,LONG,1.0,10839,10842,2026.01.29 18:18,2026.01.29 18:21,48818.7,48864.325661999996,42.6,42.6,LF,5,True,50.69518
29,L_30_Slope_EM+Micro_HL+Micro_Or,LONG,1.0,10839,10842,2026.01.29 18:18,2026.01.29 18:21,48818.7,48864.325661999996,42.6,42.6,LF,5,True,50.69518
35,L_36_AT_Slope+Momentum+AT_Regim,LONG,1.0,10839,10842,2026.01.29 18:18,2026.01.29 18:21,48818.7,48864.325661999996,42.6,42.6,LF,5,True,50.69518
16,L_17_AT_Lookb+AT_Slope+Micro_Ro,LONG,1.0,10840,10842,2026.01.29 18:19,2026.01.29 18:21,48847.7,48867.12845,16.4,16.4,BE,2,True,129.523
36,L_37_AT_Slope+Micro_Ro+RangeOsc,LONG,1.0,10840,10842,2026.01.29 18:19,2026.01.29 18:21,48847.7,48867.12845,16.4,16.4,BE,2,True,129.523
44,L_45_Micro_Mi+AT_Regim+OR_Low_S,LONG,1.0,10840,10842,2026.01.29 18:19,2026.01.29 18:21,48847.7,48867.12845,16.4,16.4,BE,2,True,129.523
9,L_10_OBV_Macd+Micro_La+Micro_Ro,LONG,1.0,10845,10847,2026.01.29 18:24,2026.01.29 18:26,48823.2,48855.690370799995,29.5,29.5,BE,1,True,108.301236
20,L_21_Bar_Rang+OBV_Macd+Micro_Ti,LONG,1.0,10848,10852,2026.01.29 18:27,2026.01.29 18:31,48851.2,48871.1485642,16.9,16.9,BE,2,True,132.990428
33,L_34_Slope_Ac+Micro_Ti+PrevDay_,LONG,1.0,10848,10852,2026.01.29 18:27,2026.01.29 18:31,48851.2,48871.1485642,16.9,16.9,BE,2,True,132.990428
4,L_5_OBV_Macd+Sqz_Stat+RangeOsc,LONG,1.0,10851,10855,2026.01.29 18:30,2026.01.29 18:34,48878.2,48907.062754,25.9,25.9,BE,1,True,150.0
31,L_32_Slope_Ac+Sqz_Stat+RangeOsc,LONG,1.0,10851,10855,2026.01.29 18:30,2026.01.29 18:34,48878.2,48907.062754,25.9,25.9,BE,1,True,150.0
20,L_21_Bar_Rang+OBV_Macd+Micro_Ti,LONG,1.0,10852,10855,2026.01.29 18:31,2026.01.29 18:34,48891.7,48914.927992599994,20.2,20.2,BE,1,True,150.0
33,L_34_Slope_Ac+Micro_Ti+PrevDay_,LONG,1.0,10852,10855,2026.01.29 18:31,2026.01.29 18:34,48891.7,48914.927992599994,20.2,20.2,BE,1,True,150.0
4,L_5_OBV_Macd+Sqz_Stat+RangeOsc,LONG,1.0,10855,10858,2026.01.29 18:34,2026.01.29 18:37,48879.2,48896.7919298,14.6,14.6,BE,1,True,58.639766
31,L_32_Slope_Ac+Sqz_Stat+RangeOsc,LONG,1.0,10855,10858,2026.01.29 18:34,2026.01.29 18:37,48879.2,48896.7919298,14.6,14.6,BE,1,True,58.639766
20,L_21_Bar_Rang+OBV_Macd+Micro_Ti,LONG,1.0,10856,10858,2026.01.29 18:35,2026.01.29 18:37,48870.2,48886.366995799995,13.2,13.2,BE,1,True,53.889986
33,L_34_Slope_Ac+Micro_Ti+PrevDay_,LONG,1.0,10856,10858,2026.01.29 18:35,2026.01.29 18:37,48870.2,48886.366995799995,13.2,13.2,BE,1,True,53.889986
4,L_5_OBV_Macd+Sqz_Stat+RangeOsc,LONG,1.0,10858,10861,2026.01.29 18:37,2026.01.29 18:40,48874.2,48895.686607799995,18.5,18.5,BE,1,True,143.244052
31,L_32_Slope_Ac+Sqz_Stat+RangeOsc,LONG,1.0,10858,10861,2026.01.29 18:37,2026.01.29 18:40,48874.2,48895.686607799995,18.5,18.5,BE,1,True,143.244052
20,L_21_Bar_Rang+OBV_Macd+Micro_Ti,LONG,1.0,10859,10861,2026.01.29 18:38,2026.01.29 18:40,48877.2,48895.5169242,15.3,15.3,BE,1,True,61.056414
33,L_34_Slope_Ac+Micro_Ti+PrevDay_,LONG,1.0,10859,10861,2026.01.29 18:38,2026.01.29 18:40,48877.2,48895.5169242,15.3,15.3,BE,1,True,61.056414
48,L_49___F1_0+__F1_0+__F1_0,LONG,1.0,10854,10865,2026.01.29 18:33,2026.01.29 18:44,48901.7,48918.7679618,14.1,14.1,BE,1,True,56.893206
4,L_5_OBV_Macd+Sqz_Stat+RangeOsc,LONG,1.0,10861,10866,2026.01.29 18:40,2026.01.29 18:45,48897.2,48919.736376199995,19.5,19.5,BE,1,True,150.0
31,L_32_Slope_Ac+Sqz_Stat+RangeOsc,LONG,1.0,10861,10866,2026.01.29 18:40,2026.01.29 18:45,48897.2,48919.736376199995,19.5,19.5,BE,1,True,150.0
1,L_2_Micro_Mo+Micro_Ra+AT_Regim,LONG,1.0,10866,10868,2026.01.29 18:45,2026.01.29 18:47,48858.2,48883.034502799994,21.8,21.8,BE,1,True,82.781676
45,L_46_Micro_En+Micro_HL+OR_Low_S,LONG,1.0,10866,10868,2026.01.29 18:45,2026.01.29 18:47,48858.2,48883.034502799994,21.8,21.8,BE,1,True,82.781676
31,L_32_Slope_Ac+Sqz_Stat+RangeOsc,LONG,1.0,10867,10870,2026.01.29 18:46,2026.01.29 18:49,48893.2,48919.0080034,22.8,22.8,BE,1,True,150.0
19,L_20_Bar_Rang+Micro_Mo+Micro_Ti,LONG,1.25,10870,10872,2026.01.29 18:49,2026.01.29 18:51,48918.7,48936.334393,18.3,14.6,BE,1,True,117.56262
